IATA,ICAO,Airport Name,City Served,Region,Location,Time Zone,Runways Count,Terminal Count,International Status,Owned By,Operated By,Website URL,Date Opened
SZF,LTFH,Samsun-Çarşamba Airport,Samsun,Samsun Province,"Çarşamba, Samsun, Turkey",UTC+03:00,1,1,International,DHMI,DHMI,https://www.dhmi.gov.tr/,1998
SZG,LOWS,Salzburg Airport,Salzburg,Salzburg,"Salzburg, Austria",UTC+01:00,2,2,International,Salzburger Flughafengesellschaft,Salzburger Flughafengesellschaft,https://www.salzburg-airport.com/,1926
SZX,ZGSZ,Shenzhen Bao'an International Airport,Shenzhen,Guangdong,"Bao'an, Shenzhen, China",UTC+08:00,3,3,International,Shenzhen Airport Group,Shenzhen Airport Group,https://www.szairport.com/,1991
SZY,EPSY,Olsztyn-Mazury Airport,Olsztyn,Warmian-Masurian,"Szymany, Olsztyn, Poland",UTC+01:00,1,1,International,Warmia i Mazury Sp. z o.o.,Warmia i Mazury Sp. z o.o.,https://www.mazuryairport.pl/,1996
SZZ,EPSC,Szczecin-Goleniów Solidarność Airport,Szczecin,West Pomeranian,"Goleniów, Szczecin, Poland",UTC+01:00,1,1,International,Szczecin-Goleniów Airport Ltd.,Szczecin-Goleniów Airport Ltd.,https://www.airport.szczecin.pl/,1956
TAB,TTPP,Tobago Airport,Scarborough,Tobago,"Crown Point, Tobago, Trinidad and Tobago",UTC-04:00,1,1,International,Airports Authority of Trinidad and Tobago,Airports Authority of Trinidad and Tobago,https://www.tntairports.com/,1940
TAO,ZSQD,Qingdao Liuting International Airport,Qingdao,Shandong,"Chengyang, Qingdao, China",UTC+08:00,2,2,International,Qingdao International Airport Group,Qingdao International Airport Group,https://www.qdairport.com/,1982
TAS,UTTT,Tashkent International Airport,Tashkent,Tashkent,"Tashkent, Uzbekistan",UTC+05:00,2,2,International,Uzbekistan Airports,Uzbekistan Airports,https://www.uzairports.uz/,1932
TAT,LZTT,Poprad-Tatry Airport,Poprad,Prešov Region,"Poprad, Slovakia",UTC+01:00,1,1,International,Poprad-Tatry Airport,Poprad-Tatry Airport,https://www.airport-poprad.sk/,1938
TBS,UGTB,Tbilisi International Airport,Tbilisi,Tbilisi,"Tbilisi, Georgia",UTC+04:00,1,1,International,TAV Airports,TAV Airports,https://www.tbilisiairport.com/,1957
TEB,KTEB,Teterboro Airport,Teterboro,New Jersey,"Teterboro, New Jersey, USA",UTC-05:00,2,1,International,Port Authority of New York and New Jersey,Port Authority of New York and New Jersey,https://www.panynj.gov/,1919
TER,LPLA,Terceira Airport,Terceira,Azores,"Praia da Vitória, Terceira, Azores, Portugal",UTC-01:00,2,1,International,ANA Aeroportos de Portugal,ANA Aeroportos de Portugal,https://www.aeroportoterceira.pt/,1956
TFS,GCTS,Tenerife South Airport,Tenerife,Canary Islands,"Granadilla de Abona, Tenerife, Spain",UTC+00:00,1,2,International,AENA,AENA,https://www.aena.es/,1978
TFU,ZUTF,Chengdu Tianfu International Airport,Chengdu,Sichuan,"Jianyang, Chengdu, China",UTC+08:00,3,2,International,Sichuan Province Airport Group,Sichuan Province Airport Group,https://www.cdairport.com/,2021
TGD,LYPG,Podgorica Airport,Podgorica,Podgorica,"Golubovci, Podgorica, Montenegro",UTC+01:00,1,1,International,Airports of Montenegro,Airports of Montenegro,https://www.montenegroairports.com/,1961
TGM,LRTM,Târgu Mureș Transilvania Airport,Târgu Mureș,Mureș County,"Vidrasău, Târgu Mureș, Romania",UTC+02:00,1,1,International,Mureș County Council,Târgu Mureș Transilvania Airport,https://www.aeroportultransilvania.ro/,1936
TIA,LATI,Tirana International Airport Nënë Tereza,Tirana,Tirana County,"Rinas, Tirana, Albania",UTC+01:00,1,1,International,Tirana International Airport SHPK,Tirana International Airport SHPK,https://www.tirana-airport.com/,1957
TIV,LYTV,Tivat Airport,Tivat,Kotor,"Tivat, Montenegro",UTC+01:00,1,1,International,Airports of Montenegro,Airports of Montenegro,https://www.montenegroairports.com/,1971
TKU,EFTP,Turku Airport,Turku,Southwest Finland,"Turku, Finland",UTC+02:00,2,1,International,Finavia,Finavia,https://www.finavia.fi/,1935
TLL,EETN,Tallinn Airport,Tallinn,Harju County,"Tallinn, Estonia",UTC+02:00,1,1,International,Tallinn Airport Ltd.,Tallinn Airport Ltd.,https://www.tallinn-airport.ee/,1936
TLN,LFTR,Toulon–Hyères Airport,Hyères,Provence-Alpes-Côte d'Azur,"Hyères, France",UTC+01:00,2,1,International,VINCI Airports,VINCI Airports,https://www.toulon-hyeres.aeroport.fr/,1967
TLS,LFTW,Toulouse–Blagnac Airport,Toulouse,Occitanie,"Blagnac, Toulouse, France",UTC+01:00,2,4,International,CCI de Toulouse,CCI de Toulouse,https://www.toulouse.aeroport.fr/,1939
TLV,LLBG,Ben Gurion Airport,Tel Aviv,Central District,"Lod, Tel Aviv, Israel",UTC+02:00,3,2,International,Israel Airports Authority,Israel Airports Authority,https://www.iaa.gov.il/,1936
TMP,EFTP,Tampere–Pirkkala Airport,Tampere,Pirkanmaa,"Pirkkala, Tampere, Finland",UTC+02:00,1,2,International,Finavia,Finavia,https://www.finavia.fi/,1979
TMS,FNTT,São Tomé International Airport,São Tomé,São Tomé Island,"São Tomé, São Tomé and Príncipe",UTC+00:00,1,1,International,ENASA,ENASA,https://www.enasa.st/,1962
TNG,GMTT,Tangier Ibn Battouta Airport,Tangier,Tangier-Tetouan-Al Hoceima,"Tangier, Morocco",UTC+01:00,1,1,International,ONDA (National Airports Authority),ONDA,https://www.onda.ma/,1957
TOS,ENTF,Tromsø Airport,Tromsø,Troms og Finnmark,"Langnes, Tromsø, Norway",UTC+01:00,1,1,International,Avinor,Avinor,https://www.avinor.no/,1964
TPA,KTPA,Tampa International Airport,Tampa,Florida,"Tampa, Florida, USA",UTC-05:00,4,1,International,Hillsborough County Aviation Authority,Hillsborough County Aviation Authority,https://www.tampaairport.com/,1971
TPE,RCTP,Taiwan Taoyuan International Airport,Taipei,Taoyuan,"Dayuan, Taoyuan, Taiwan",UTC+08:00,2,2,International,Taoyuan International Airport Corporation,Taoyuan International Airport Corporation,https://www.taoyuan-airport.com/,1979
TPS,LICT,Trapani–Birgi Airport,Trapani,Sicily,"Birgi, Trapani, Italy",UTC+01:00,1,1,International,AIRGEST S.p.A.,AIRGEST S.p.A.,https://www.aeroportotrapani.com/,1961
TRD,ENVA,Trondheim Airport, Værnes,Trondheim,"Stjørdal, Trondheim, Norway",UTC+01:00,2,2,International,Avinor,Avinor,https://www.avinor.no/,1914
TRE,EGPU,Tiree Airport,Tiree,Inner Hebrides,"Balemartine, Tiree, Scotland",UTC+00:00,3,1,Domestic,Highlands and Islands Airports,Highlands and Islands Airports,https://www.hial.co.uk/,1937
TRF,ENTO,Sandefjord Airport, Torp,Sandefjord,"Torp, Sandefjord, Norway",UTC+01:00,1,1,International,Sandefjord Lufthavn AS,Sandefjord Lufthavn AS,https://www.torp.no/,1959
TRN,LIMF,Turin Airport,Turin,Piedmont,"Caselle Torinese, Turin, Italy",UTC+01:00,1,1,International,SAGAT S.p.A.,SAGAT S.p.A.,https://www.aeroportoditorino.it/,1953
TRS,LIPQ,Trieste – Friuli Venezia Giulia Airport,Trieste,Friuli Venezia Giulia,"Ronchi dei Legionari, Trieste, Italy",UTC+01:00,1,1,International,Aeroporto Friuli Venezia Giulia S.p.A.,Aeroporto Friuli Venezia Giulia S.p.A.,https://www.aeroporto.fvg.it/,1961
TSF,LIPH,Treviso Airport,Treviso,Veneto,"Treviso, Italy",UTC+01:00,1,1,International,Aer Tre S.p.A.,Aer Tre S.p.A.,https://www.trevisoairport.it/,1938
TSN,ZBTJ,Tianjin Binhai International Airport,Tianjin,Tianjin,"Dongli, Tianjin, China",UTC+08:00,2,2,International,Tianjin Airport Group,Tianjin Airport Group,https://www.tianjin-airport.com/,1939
TSR,LRSM,Timișoara Traian Vuia Airport,Timișoara,Timiș County,"Timișoara, Romania",UTC+02:00,1,1,International,Timișoara International Airport,Timișoara International Airport,https://www.aerotim.ro/,1964
TUF,LFOU,Tours Val de Loire Airport,Tours,Centre-Val de Loire,"Tours, France",UTC+01:00,2,1,International,CCI de Touraine,CCI de Touraine,https://www.tours.aeroport.fr/,1937
TUN,DTTA,Tunis–Carthage International Airport,Tunis,Tunis Governorate,"Tunis, Tunisia",UTC+01:00,2,2,International,TAV Airports,TAV Airports,https://www.tunisairport.com/,1940
TUU,OETB,Tabuk Regional Airport,Tabuk,Tabuk Province,"Tabuk, Saudi Arabia",UTC+03:00,1,1,International,General Authority of Civil Aviation,General Authority of Civil Aviation,https://www.gaca.gov.sa/,1978
TZL,LQBK,Banja Luka International Airport,Banja Luka,Republika Srpska,"Mahovljani, Banja Luka, Bosnia and Herzegovina",UTC+01:00,1,1,International,Banja Luka International Airport,Banja Luka International Airport,https://www.banjaluka-airport.com/,1983
TZX,LTCG,Trabzon Airport,Trabzon,Trabzon Province,"Trabzon, Turkey",UTC+03:00,1,2,International,DHMI,DHMI,https://www.dhmi.gov.tr/,1957
UIP,LFRQ,Quimper–Bretagne Airport,Quimper,Brittany,"Pluguffan Ascensores, France",UTC+01:00,1,1,International,CCI de Quimper,CCI de Quimper,https://www.aeroport-quimper.fr/,1932
UNK,PAUN,Unalakleet Airport,Unalakleet,Alaska,"Unalakleet, Alaska, USA",UTC-09:00,2,1,Domestic,State of Alaska,State of Alaska Department of Transportation,,1940
UVF,TLPL,Hewanorra International Airport,Vieux Fort,St. Lucia,"Vieux Fort, St. Lucia",UTC-04:00,1,1,International,St. Lucia Air and Sea Ports Authority,St. Lucia Air and Sea Ports Authority,https://www.slaspa.com/,1967
VAR,LBWN,Varna Airport,Varna,Varna Province,"Varna, Bulgaria",UTC+02:00,1,2,International,Fraport Twin Star Airport Management,Fraport Twin Star Airport Management,https://www.varna-airport.bg/,1916
VBS,LIPO,Brescia Airport,Brescia,Lombardy,"Montichiari, Brescia, Italy",UTC+01:00,1,1,International,SAVE Group,SAVE Group,https://www.aeroportobrescia.it/,1999
VCE,LIPZ,Venice Marco Polo Airport,Venice,Veneto,"Tessera, Venice, Italy",UTC+01:00,1,1,International,SAVE Group,SAVE Group,https://www.veneziaairport.it/,1960
VGO,LEVX,Vigo–Peinador Airport,Vigo,Galicia,"Vigo, Spain",UTC+01:00,1,1,International,AENA,AENA,https://www.aena.es/,1928
VIE,LOWW,Vienna International Airport,Vienna,Lower Austria,"Schwechat, Vienna, Austria",UTC+01:00,3,4,International,Flughafen Wien AG,Flughafen Wien AG,https://www.viennaairport.com/,1938
VIT,LEVT,Vitoria Airport,Vitoria-Gasteiz,Basque Country,"Vitoria-Gasteiz, Spain",UTC+01:00,2,1,International,AENA,AENA,https://www.aena.es/,1980
VLC,LEVC,Valencia Airport,Valencia,Valencian Community,"Manises, Valencia, Spain",UTC+01:00,1,2,International,AENA,AENA,https://www.aena.es/,1927
VLL,LEVD,Valladolid Airport,Valladolid,Castile and León,"Valladolid, Spain",UTC+01:00,2,1,International,AENA,AENA,https://www.aena.es/,1938
VNE,LFRV,Vannes Airport,Vannes,Brittany,"Meucon, Vannes, France",UTC+01:00,2,1,International,CCI de Vannes,CCI de Vannes,https://www.aeroport-vannes.fr/,1977
VNO,EYVI,Vilnius Airport,Vilnius,Vilnius County,"Vilnius, Lithuania",UTC+02:00,1,1,International,Lithuanian Airports,Lithuanian Airports,https://www.vilnius-airport.lt/,1958
VNY,KVNY,Van Nuys Airport,Los Angeles,California,"Van Nuys, California, USA",UTC-08:00,2,1,International,Los Angeles World Airports,Los Angeles World Airports,https://www.lawa.org/,1928
VOL,LGVO,Volos Airport,Volos,Thessaly,"Nea Anchialos, Volos, Greece",UTC+02:00,1,1,International,Hellenic Civil Aviation Authority,Hellenic Civil Aviation Authority,https://www.volosairport.gr/,1991
VRA,MUVR,Juan Gualberto Gómez Airport,Varadero,Matanzas,"Varadero, Cuba",UTC-05:00,1,1,International,ECASA,ECASA,https://www.varadero-airport.com/,1989
VRN,LIPX,Verona Villafranca Airport,Verona,Veneto,"Villafranca di Verona, Italy",UTC+01:00,1,2,International,Aeroporto Valerio Catullo S.p.A.,Aeroporto Valerio Catullo S.p.A.,https://www.aeroportoverona.it/,1978
VST,ESOW,Stockholm Västerås Airport,Västerås,Västmanland,"Västerås, Sweden",UTC+01:00,1,1,International,Västerås Flygplats AB,Västerås Flygplats AB,https://www.vasterasairport.se/,1938
VXO,ESMX,Växjö Småland Airport,Växjö,Kronoberg,"Växjö, Sweden",UTC+01:00,1,1,International,Småland Airport AB,Småland Airport AB,https://www.smalandairport.se/,1975
WAW,EPWA,Chopin Airport,Warsaw,Masovian,"Okęcie, Warsaw, Poland",UTC+01:00,2,1,International,Polish Airports State Enterprise,Polish Airports State Enterprise,https://www.lotnisko-chopina.pl/,1934
WHS,EGNT,Wick Airport,Wick,Scotland,"Wick, Caithness, Scotland",UTC+00:00,2,1,Domestic,Highlands and Islands Airports,Highlands and Islands Airports,https://www.hial.co.uk/,1936
WIC,EGPC,Wick Airport,Wick,Scotland,"Wick, Caithness, Scotland",UTC+00:00,2,1,Domestic,Highlands and Islands Airports,Highlands and Islands Airports,https://www.hial.co.uk/,1936
WMI,EPMO,Warsaw Modlin Airport,Warsaw,Masovian,"Nowy Dwór Mazowiecki, Warsaw, Poland",UTC+01:00,1,1,International,Modlin Airport Ltd.,Modlin Airport Ltd.,https://www.modlinairport.pl/,2012
WRO,EPWR,WrocławWroclaw,Wroclaw,Lower Silesian,"Strachowice, Wroclaw, Poland",UTC+01:00,1,1,International,WrocławWroclaw Airport Ltd.,Wroclaw Airport Ltd.,https://www.airport.wroclaw.pl/,1938
WUH,ZHHH,Wuhan Tianhe International Airport,Wuhan,Hubei,"Huangpi, Wuhan, China",UTC+08:00,2,3,International,Wuhan Tianhe International Airport Co.,Wuhan Tianhe International Airport Co.,https://www.whairport.com/,1995
XCR,LFOK,Châlons Vatry Airport,Châlons-en-Champagne,Grand Est,"Vatry, Châlons-en-Champagne, France",UTC+01:00,1,1,International,CCI de Châlons-en-Champagne,CCI de Châlons-en-Champagne,https://www.vatry.aeroport.fr/,1997
XIY,ZLXY,Xi'an Xianyang International Airport,Xi'an,Shaanxi,"Weicheng, Xi'an, China",UTC+08:00,3,3,International,Xi'an Xianyang International Airport Co.,Xi'an Xianyang International Airport Co.,https://www.xianairport.com/,1991
XRY,LEJR,Jerez Airport,Jerez de la Frontera,Andalusia,"Jerez de la Frontera, Spain",UTC+01:00,1,1,International,AENA,AENA,https://www.aena.es/,1938
YEG,CYEG,Edmonton International Airport,Edmonton,Alberta,"Leduc County, Edmonton, Alberta, Canada",UTC-07:00,2,1,International,Edmonton Airports,Edmonton Airports,https://www.flyeia.com/,1960
YHZ,CYHZ,Halifax Stanfield International Airport,Halifax,Nova Scotia,"Enfield, Nova Scotia, Canada",UTC-04:00,2,1,International,Halifax International Airport Authority,Halifax International Airport Authority,https://www.halifaxstanfield.ca/,1960
YOW,CYOW,Ottawa Macdonald–Cartier International Airport,Ottawa,Ontario,"Ottawa, Ontario, Canada",UTC-05:00,3,1,International,Ottawa International Airport Authority,Ottawa International Airport Authority,https://www.yow.ca/,1958
YQB,CYQB,Québec City Jean Lesage International Airport,Quebec City,Quebec,"Sainte-Foy, Quebec City, Quebec, Canada",UTC-05:00,2,1,International,Aéroport de Québec,Aéroport de Québec,https://www.aeroportdequebec.com/,1939
YQX,CYQX,Gander International Airport,Gander,Newfoundland and Labrador,"Gander, Newfoundland and Labrador, Canada",UTC-03:30,2,1,International,Gander International Airport Authority,Gander International Airport Authority,https://www.ganderairport.com/,1938
YUL,CYUL,Montréal–Pierre Elliott Trudeau International Airport,Montreal,Quebec,"Dorval, Quebec, Canada",UTC-05:00,3,1,International,Aéroports de Montréal,Aéroports de Montréal,https://www.admtl.com/,1941
YVR,CYVR,Vancouver International Airport,Vancouver,British Columbia,"Richmond, British Columbia, Canada",UTC-08:00,3,2,International,Vancouver Airport Authority,Vancouver Airport Authority,https://www.yvr.ca/,1931
YYC,CYYC,Calgary International Airport,Calgary,Alberta,"Calgary, Alberta, Canada",UTC-07:00,3,2,International,Calgary Airport Authority,Calgary Airport Authority,https://www.yyc.com/,1938
YYT,CYYT,St. John's International Airport,St. John's,Newfoundland and Labrador,"St. John's, Newfoundland and Labrador, Canada",UTC-03:30,2,1,International,St. John's International Airport Authority,St. John's International Airport Authority,https://www.stjohnsairport.com/,1945
YYZ,CYYZ,Toronto Pearson International Airport,Toronto,Ontario,"Mississauga, Ontario, Canada",UTC-05:00,5,2,International,Greater Toronto Airports Authority,Greater Toronto Airports Authority,https://www.torontopearson.com/,1939
ZAD,LDZD,Zadar Airport,Zadar,Zadar County,"Zemunik Donji, Zadar, Croatia",UTC+01:00,1,1,International,Zadar Airport Ltd.,Zadar Airport Ltd.,https://www.zadar-airport.hr/,1969
ZAG,LDZA,Zagreb Franjo Tuđman Airport,Zagreb,Zagreb County,"Velika Gorica, Zagreb, Croatia",UTC+01:00,1,1,International,Zagreb Airport Ltd.,Zagreb Airport Ltd.,https://www.zagreb-airport.hr/,1925
ZAZ,LEZG,Zaragoza Airport,Zaragoza,Aragon,"Zaragoza, Spain",UTC+01:00,2,1,International,AENA,AENA,https://www.aena.es/,1940
ZRH,LSZH,Zürich Airport,Zürich,Zürich,"Kloten, Zürich, Switzerland",UTC+01:00,3,3,International,Flughafen Zürich AG,Flughafen Zürich AG,https://www.zurich-airport.com/,1948
ZTH,LGZA,Zakynthos International Airport,Zakynthos,Ionian Islands,"Zakynthos, Greece",UTC+02:00,1,1,International,Fraport Greece,Fraport Greece,https://www.zth-airport.gr/,1972
ZYL,VGSY,Osmani International Airport,Sylhet,Sylhet Division,"Sylhet, Bangladesh",UTC+06:00,1,1,International,Bangladesh Civil Aviation Authority,Bangladesh Civil Aviation Authority,https://www.caab.gov.bd/,1943
